track_loc,race_no,date,dog_id,bsp
0,Sale,7,26-12-2022,DR ANGELO,31.754830794876327
1,Sale,7,26-12-2022, BONNIE GEM,89.71632515515374
2,Sale,7,26-12-2022,SIMON ROSE,49.88234848725028
3,Warrnambool,4,26-12-2022,SMILING QUARTILE,75.0
4,Warrnambool,4,26-12-2022,BRANSON BALE,7.858490748850164
5,Warrnambool,1,26-12-2022,INGA SALLY,5.1070286655020745
6,Warrnambool,7,26-12-2022,REIKO BOLT,15.5
7,Ipswich,1,26-12-2022,FROSTY CAKE,86.281887391
8,Ipswich,1,26-12-2022, ZABIL,22.611790142146056
9,Ipswich,2,26-12-2022,MINI MISSILE,8.38211841634009
10,Ipswich,3,26-12-2022,LADY MCBETH,71.88628613121809
11,Ipswich,4,26-12-2022,SHIAN KELLY,16.5
12,Ipswich,4,26-12-2022,TOP SHELF TIM,40.0
13,Ipswich,4,26-12-2022,VALKYRIE BELINDA,77.45152750875798
14,Ipswich,6,26-12-2022,PUMP MY TYRE,8.2
15,Ipswich,7,26-12-2022,PERFECT SKIPPER,17.106040435554466
16,Ipswich,7,26-12-2022,CLAWFOOT,6.2
17,Ipswich,9,26-12-2022,THORNBIRD,10.974512747890117
18,Ipswich,9,26-12-2022,CHIEF SUNDANCE,32.0
19,Ipswich,11,26-12-2022,STORM ROSE,114.23367766
20,Albion,2,26-12-2022,MUMMAS GIRL,14.223839691477188
21,Albion,8,26-12-2022,MYSTICAL LULU,4.80949564955168
22,Albion,9,26-12-2022,SECOND STRINGER,90.14155529250324
23,Albion,9,26-12-2022,POLLYS EXPRESS,1.9519014964420929
24,Albion,10,26-12-2022,BORA BLUE,2.92
25,Albion,10,26-12-2022,CONTRACT,2.52
30,Shepparton,9,26-12-2022,SPRINKLER SYSTEM,6.8
38,Nowra,8,26-12-2022,PEYTONS PEACH,25.700026099
39,Gunnedah,12,26-12-2022,GREEK TEMPTATION,4.352201625
40,Gunnedah,12,26-12-2022,YOU KNOW ZIPPER,8.228357912494033
41,Gunnedah,12,26-12-2022,SPOT OF RUM,36.71504558978603
42,Sale,11,26-12-2022,REAR VIEW MIRROR,5.780770709
43,Sale,11,26-12-2022,CLASSIC TOUCH,5.6
44,Sale,11,26-12-2022,MADALIA ZOOM,9.656044251
45,Sale,11,26-12-2022,GYPSY HA HA,12.92141270975582
46,Shepparton,11,26-12-2022,SLINGSHOT TROJAN,6.292779154432354
47,Shepparton,12,26-12-2022,MOUNT PANORAMA,12.5
48,Shepparton,12,26-12-2022,HILLBILLY LASS,32.0
49,Ballarat,7,26-12-2022,GO PATCH GO,7.735931926305058
50,Ballarat,7,26-12-2022,WHAT A SPIRIT,4.5
51,Sale,4,26-12-2022,IM A NEO,14.0
52,Sale,4,26-12-2022,ANOTHER DALE,63.06562578970283
53,Sale,5,26-12-2022,DR ROGAN,12.0
54,Warrnambool,3,26-12-2022,INDIGO INDY,128.80152961216868
55,Warrnambool,12,26-12-2022,BLACKJACK TIGER,4.3
56,Warrnambool,12,26-12-2022,MAXIMUM SOPHIE,8.294451549
57,Warrnambool,11,26-12-2022,MISS ZEUS,14.5
58,Warrnambool,11,26-12-2022,WINGED DOMINANCE,7.2
60,Maitland,10,26-12-2022,BOTTLERS CHARM,10.384475201393943
74,Angle,4,26-12-2022,SHIFTY AND SHADY,22.6468215324916
75,Angle,4,26-12-2022,TINTILLO,18.0
76,Launceston,1,26-12-2022,LOST MAGIC,48.18474164418414
77,Launceston,1,26-12-2022,BLACKWOOD ECHO,6.8
78,Launceston,3,26-12-2022,BUCKLE UP LOGAN,2.709702828520167
79,Launceston,5,26-12-2022,BLAZER EXPRESS,55.807503415718685
80,Launceston,6,26-12-2022,DEWANA BE DEAN,66.67317818120588
81,Launceston,7,26-12-2022,BUCKLE UP ELISE,3.7314582147984767
82,Horsham,3,26-12-2022,WEIPA,15.0
83,Horsham,6,26-12-2022,CRYMELON COMET,6.328872486725743
84,Horsham,6,26-12-2022,CURLY FRIES,13.980782293346714
96,Launceston,4,26-12-2022,CAMROSE,17.43062419756708
97,Launceston,4,26-12-2022,DEWANA BOOGIE,3.778054517802408
98,Launceston,4,26-12-2022,BLACKPOOL OAKLEY,3.3
99,Ballarat,8,26-12-2022,KING OF ALL,11.960584023101251
100,Ballarat,2,26-12-2022,GUNAI REDEEMER,2.82
101,Ballarat,2,26-12-2022,THING ONE,10.620552655215857
102,Ballarat,2,26-12-2022,BINDY BOO,4.6
103,Sale,2,26-12-2022,HOOKED ON RED,13.5
104,Sale,2,26-12-2022,EXCAVATOR TICKET,17.49867288622307
105,Sale,3,26-12-2022,DR XIAN,80.0
106,Sale,10,26-12-2022,TUTELINA,25.0
107,Sale,10,26-12-2022,LUNA CRUZ,121.541567838
108,Addington,3,26-12-2022,PALESA BALE,23.862968698728363
109,Ballarat,4,26-12-2022,ASTON ARIELLE,6.2
110,Ballarat,4,26-12-2022,MY GIRL WHIZBANG,8.49566649176306
111,Ballarat,3,26-12-2022,LETTERFRACK LADY,55.0
112,Murray,2,26-12-2022,STEEL BOY,5.412477172303272
113,Nowra,10,26-12-2022,PRINCESS FORTY,9.2
114,Angle,12,26-12-2022,SLIM SHERMAN,6.2
115,Horsham,4,26-12-2022,SPECIAL INNINGS,3.1
116,Horsham,4,26-12-2022,MAJOR CURRENCY,3.2378605563923357
117,Maitland,1,26-12-2022,LADS ON TOUR,32.660086924
118,Maitland,2,26-12-2022,PINKY KNIGHT,7.0
119,Maitland,2,26-12-2022,KISS ME OLLAHM,26.792618640763685
120,Maitland,2,26-12-2022,JUAN WAY,150.0
121,Maitland,3,26-12-2022,KINLOCH BABE,2.394699612853911
122,Maitland,3,26-12-2022,SHAUN CROUCH,3.15
123,Maitland,3,26-12-2022,GOODWIN GRANGE,21.0
124,Maitland,4,26-12-2022,ACE QUALITY,1.561600953552297
125,Maitland,4,26-12-2022,TURBO CASH,17.0
126,Maitland,5,26-12-2022,MY BROCKIE,14.47903784026974
127,Maitland,5,26-12-2022,FROG STOMP,23.0
128,Maitland,5,26-12-2022,FIREBALL NIGHT,2.41762504921324
129,Maitland,7,26-12-2022,FASCINATE TRUMP,9.67597356065846
130,Gunnedah,2,26-12-2022,WINLOCK TO RISE,15.066673373
131,Gunnedah,1,26-12-2022,TRALEE CRUISER,4.558321522623885
132,Gunnedah,4,26-12-2022,BLUE BIRD BEACH,65.29303801
133,Gunnedah,6,26-12-2022,KARINYA TROMBONE,29.0
134,Gunnedah,6,26-12-2022,WIRADJURI QUEEN,5.005931358514355
135,Gunnedah,7,26-12-2022,PANAMA SKIES,3.719130365557066
136,Gunnedah,9,26-12-2022,HEAD THEM UP,2.062739501664473
137,Gunnedah,10,26-12-2022,WINLOCK ONE OUT,9.4
138,Angle,5,26-12-2022,VELOCITY COMET,11.0
139,Angle,7,26-12-2022,TWO HANDS GEORGE,5.509303123392166
140,Angle,7,26-12-2022,WEBLEC NOVA,11.0
141,Angle,9,26-12-2022,JACKEY MOON,36.0
155,Shepparton,8,26-12-2022,FALSE CONFIDENCE,1.5465633384570898
156,Shepparton,8,26-12-2022,ASTON ROMAN,28.774740774363465
157,Shepparton,10,26-12-2022,ASTON KOMUNI,3.15
158,Shepparton,10,26-12-2022,SPRING TUNE,8.005505827122834
159,Ballarat,6,26-12-2022,WAY UP NORTH,34.0
160,Nowra,1,26-12-2022,AUSSIE SUMMER,5.017409611341208
164,Ballarat,9,26-12-2022,GIOVANI,18.9079721805657
165,Ballarat,9,26-12-2022,LIVERPOOL STREET,32.0
166,Ballarat,11,26-12-2022,MS LUCKY LEAVES,9.426126126480522
167,Ballarat,11,26-12-2022,SODA BROCK,5.994626525216737
169,Geelong,3,26-12-2022,SENSEI PANDAKEN,7.5155253153430035
171,Geelong,4,26-12-2022,ULTRA BALE,1.51
172,Albion,1,26-12-2022,REAL SLIPPERY,9.342913837121303
173,Nowra,6,26-12-2022,SACRED PARK,1.5725608461756022
174,Nowra,6,26-12-2022,KICK IT HOME,57.51944268878317
175,Angle,11,26-12-2022,ASTON CHAFFY,22.528376468275678
176,Ballarat,5,26-12-2022,LEKTRA NICK,19.0
177,Ballarat,5,26-12-2022,DIVA DOT,42.16708336744168
178,Warrnambool,6,26-12-2022,CRACKERJACK LACH,4.002473721
179,Warrnambool,6,26-12-2022,SLINGSHOT BRUNO,15.222177829301218
180,Warrnambool,9,26-12-2022,LEKTRA TINSEL,8.0
191,Murray,4,26-12-2022,SCOTT HUE,230.0
196,Murray,5,26-12-2022,JUICY QUE,2.88
197,Addington,1,26-12-2022,GOLDSTAR RANDAL,5.2
198,Addington,1,26-12-2022,MY LEGACY,5.4
199,Addington,1,26-12-2022,IDOL FIRST,10.120230334864312
200,Addington,2,26-12-2022,ROCKDALE DORA,1.9760962875963015
201,Sale,6,26-12-2022,LAKEVIEW LASS,8.666521274
202,Sale,6,26-12-2022,PEOPLE GET READY,11.0
203,Warrnambool,8,26-12-2022,SELYNYA OBI,1.4277740415742484
204,Warrnambool,7,26-12-2022,BINGO RINGO,36.0
205,Warrnambool,7,26-12-2022,ASTON FLOYD,5.142767204560805
206,Warrnambool,7,26-12-2022,MOONLIGHT JACK,50.0
207,Ipswich,2,26-12-2022,DRAGON PRINCESS,18.53961808849126
208,Ipswich,3,26-12-2022,BALMAIN JUROR,14.424228052
209,Ipswich,4,26-12-2022,CHAMPAGNE IVY,2.650342567
210,Ipswich,5,26-12-2022,INSPIRED REASON,2.0318904454904256
211,Ipswich,5,26-12-2022,HES BLAZING,58.58223643789067
212,Ipswich,6,26-12-2022,ELARBEE MENDES,9.053293047519402
213,Ipswich,7,26-12-2022,POWDER KEG,14.881419040160258
214,Ipswich,7,26-12-2022,MODULATING,12.723158938713777
215,Ipswich,7,26-12-2022,SPRING LUNA,36.63425463556313
216,Ipswich,7,26-12-2022,NOVEMBER,8.2
217,Ipswich,8,26-12-2022,TERRYS TOIL,6.4
218,Ipswich,8,26-12-2022,STATE OF RAGE,7.4
219,Ipswich,8,26-12-2022,CHEEKY WILLOW,10.5
220,Ipswich,9,26-12-2022,LITTLE BIT TIPSY,2.82
221,Ipswich,10,26-12-2022,CINDY CAIRN DO,16.0
222,Ipswich,11,26-12-2022,GO GIRL,8.6
223,Ipswich,11,26-12-2022,DIAZ HERRERA,1.7547806125918577
224,Ipswich,11,26-12-2022,GYPSY RICO,5.664726205
225,Ipswich,12,26-12-2022,FROSTBITE HUX,11.0
226,Albion,4,26-12-2022,JERRY,11.734485244378446
227,Albion,7,26-12-2022,WENDY MAREE,90.0
228,Albion,9,26-12-2022,QUEENSLANDER,3.7578152837960808
229,Albion,9,26-12-2022,MIRACLES MATE,14.0
239,Shepparton,9,26-12-2022,ELLIOTT NESS,24.0
240,Shepparton,9,26-12-2022,FABRIOLA DURAN,5.080773751101805
241,Shepparton,9,26-12-2022,HAIL ZEUS,7.2
252,Nowra,4,26-12-2022,JUST ELLIE,8.068726975277979
253,Sale,11,26-12-2022,LAKEVIEW BUFF,14.955130699
